TransactionID,CustomerID,TransactionTime,TransactionAmount,MerchantCategory,TransactionMode,Location,AccountAgeDays,RiskScore,IsFraud,Hour,DayOfWeek
1,C000861,40:32.6,150.06,digital_services,online,"London,UK",910,44.62,0,17,Thursday
2,C003773,44:44.6,135.09,healthcare,pos,"Sydney,AU",1058,22.46,0,17,Wednesday
3,C003093,00:13.6,5.31,restaurants,pos,"Bengaluru,IN",2217,0.01,0,15,Saturday
4,C000467,49:53.6,54.35,others,atm,"New York,US",1369,22.25,0,3,Wednesday
5,C004427,38:14.6,8.1,groceries,atm,"London,UK",3218,44.26,0,1,Friday
6,C003445,01:32.6,24.59,others,online,"New York,US",2580,22.18,0,8,Wednesday
7,C003172,58:39.6,18.48,fashion,online,"Mumbai,IN",1643,44.29,0,4,Monday
8,C002920,05:17.6,144.19,fuel,pos,"Sydney,AU",1672,22.48,0,18,Friday
9,C000131,12:55.6,62.82,telecom,pos,"Dubai,AE",538,44.4,0,0,Wednesday
10,C001686,30:54.6,11.67,telecom,online,"London,UK",3318,44.27,0,13,Friday
11,C000770,51:06.6,156.97,fuel,online,"Singapore,SG",3413,66.76,0,4,Friday
12,C002392,28:26.6,9.77,travel,pos,"New York,US",928,22.14,0,4,Saturday
13,C002434,44:51.6,81.14,education,atm,"Berlin,DE",3626,22.32,0,18,Monday
14,C001185,05:48.6,20.56,gaming,atm,"Sydney,AU",2738,22.17,0,11,Saturday
15,C004556,30:07.6,35.2,travel,online,"Berlin,DE",1105,44.33,0,14,Saturday
16,C003386,28:59.6,100,groceries,online,"Bengaluru,IN",2737,44.49,0,0,Sunday
17,C004118,41:02.6,102.08,restaurants,online,"Remote,Unknown",705,44.5,0,14,Tuesday
18,C004844,58:31.6,271.61,entertainment,pos,"Sydney,AU",2239,22.8,0,17,Thursday
19,C002905,38:31.6,49.47,fashion,pos,"Sydney,AU",283,22.24,0,9,Sunday
20,C000475,05:25.6,78.87,restaurants,pos,"Berlin,DE",971,22.32,0,14,Monday
21,C001083,16:13.6,32.29,utilities,pos,"Sydney,AU",489,22.2,0,12,Sunday
22,C002559,51:55.6,67.92,fashion,online,"Berlin,DE",3107,66.53,0,1,Sunday
23,C002048,17:50.6,92.52,fuel,online,"Bengaluru,IN",3366,44.47,0,4,Friday
24,C002748,50:31.6,48.52,education,atm,"Remote,Unknown",2854,44.36,0,4,Tuesday
25,C000976,19:42.6,6.27,fuel,online,"Berlin,DE",2090,44.26,0,15,Saturday
26,C001807,17:19.6,81.27,utilities,online,"Toronto,CA",170,44.44,0,18,Friday
27,C000190,29:05.6,84.56,entertainment,pos,"Sydney,AU",3055,22.33,0,23,Saturday
28,C002735,20:48.6,24.14,groceries,pos,"Singapore,SG",1593,22.18,0,15,Sunday
29,C003006,38:08.6,11.69,travel,atm,"London,UK",868,22.15,0,16,Wednesday
30,C004659,46:36.6,320.88,fuel,online,"Singapore,SG",566,67.17,0,5,Wednesday
31,C001900,28:17.6,98.47,entertainment,pos,"New York,US",1418,22.36,0,2,Saturday
32,C001268,14:00.6,41.48,digital_services,pos,"Sydney,AU",3260,44.35,0,5,Saturday
33,C001529,27:16.6,13.95,education,atm,"London,UK",3368,44.28,0,4,Saturday
34,C003203,22:48.6,20.37,fashion,pos,"Singapore,SG",385,22.17,0,23,Wednesday
35,C003557,46:35.6,260.63,groceries,pos,"Singapore,SG",1912,44.89,0,1,Wednesday
36,C003891,39:08.6,64.41,restaurants,online,"Sydney,AU",2646,66.53,0,4,Monday
37,C000647,39:02.6,28.2,entertainment,pos,"Singapore,SG",3136,22.19,0,15,Sunday
38,C002889,44:08.6,100.65,education,online,"Berlin,DE",81,44.49,0,11,Friday
39,C002436,35:08.6,20.55,groceries,online,"Berlin,DE",2828,44.29,0,8,Monday
40,C000601,07:01.6,330.63,entertainment,online,"London,UK",3257,45.07,0,15,Tuesday
41,C002364,55:10.6,276.82,telecom,pos,"London,UK",2509,22.81,0,8,Thursday
42,C002062,39:40.6,31.19,digital_services,online,"Bengaluru,IN",3417,22.2,0,11,Monday
43,C000242,09:20.6,25.68,telecom,pos,"Singapore,SG",1562,22.18,0,21,Wednesday
44,C002042,04:00.6,2.36,electronics,pos,"Remote,Unknown",238,22.12,0,10,Sunday
45,C002825,57:56.6,9.23,utilities,online,"Mumbai,IN",3368,44.26,0,3,Sunday
46,C002613,50:00.6,10.94,electronics,pos,"London,UK",3559,44.27,0,3,Sunday
47,C001364,37:25.6,64.21,groceries,online,"Mumbai,IN",3441,22.28,0,13,Wednesday
48,C001479,15:15.6,36.91,electronics,online,"Sydney,AU",2347,66.46,0,4,Tuesday
49,C002557,54:33.6,10.87,entertainment,pos,"London,UK",737,22.15,0,20,Wednesday
50,C000776,38:40.6,38.96,education,pos,"Remote,Unknown",840,22.22,0,9,Monday
51,C004015,19:55.6,100.12,entertainment,pos,"Dubai,AE",1933,22.37,0,21,Tuesday
52,C000035,16:52.6,102.86,electronics,pos,"Berlin,DE",3162,44.5,0,4,Wednesday
53,C003153,58:41.6,5.59,utilities,pos,"New York,US",1464,22.13,0,4,Tuesday
54,C001956,19:08.6,46.81,others,online,"Remote,Unknown",2577,44.36,0,15,Tuesday
55,C001586,02:23.6,10.38,others,pos,"Bengaluru,IN",88,0.02,0,12,Tuesday
56,C003944,03:10.6,161.11,others,pos,"Toronto,CA",2072,22.52,0,19,Friday
57,C003074,14:29.6,139.91,utilities,online,"London,UK",332,44.59,0,17,Monday
58,C001022,43:19.6,18.59,digital_services,pos,"New York,US",3130,0.04,0,9,Monday
59,C003462,29:09.6,21.77,entertainment,pos,"Bengaluru,IN",2512,0.05,0,9,Friday
60,C002614,55:05.6,31.39,groceries,online,"Berlin,DE",3050,66.44,0,0,Tuesday
61,C003844,55:24.6,3.66,fashion,atm,"Singapore,SG",189,44.25,0,4,Friday
62,C001501,26:42.6,81.71,utilities,online,"Singapore,SG",3536,44.45,0,8,Tuesday
63,C004799,43:34.6,39.35,healthcare,atm,"Sydney,AU",2270,22.22,0,17,Saturday
64,C000162,56:06.6,174.9,utilities,online,"London,UK",3011,44.68,0,20,Saturday
65,C004298,20:49.6,14.61,gaming,pos,"Berlin,DE",353,22.16,0,10,Thursday
66,C001982,21:21.6,25.97,digital_services,pos,"Remote,Unknown",3123,22.18,0,18,Friday
67,C000996,14:25.6,8.95,fashion,pos,"Remote,Unknown",1112,44.26,0,0,Sunday
68,C004912,34:28.6,16.36,travel,online,"San Francisco,US",2270,44.28,0,2,Wednesday
69,C003343,13:10.6,13.22,healthcare,online,"Dubai,AE",2536,44.27,0,8,Wednesday
70,C004552,35:19.6,180.4,gaming,online,"San Francisco,US",2032,44.69,0,2,Saturday
71,C003799,14:30.6,23.62,utilities,pos,"Mumbai,IN",860,0.05,0,10,Sunday
72,C001276,44:03.6,63.37,electronics,online,"Bengaluru,IN",2927,44.4,0,0,Sunday
73,C001017,51:23.6,34.57,entertainment,pos,"Berlin,DE",167,22.21,0,18,Monday
74,C000338,10:49.6,11.9,education,pos,"Berlin,DE",1730,22.15,0,8,Tuesday
75,C000879,21:03.6,44.61,telecom,atm,"Mumbai,IN",101,0.11,0,12,Friday
76,C001077,33:38.6,112.05,healthcare,online,"New York,US",3496,22.4,0,6,Tuesday
77,C004888,40:15.6,12.82,utilities,pos,"Mumbai,IN",525,0.03,0,9,Sunday
78,C003994,22:22.6,144.16,entertainment,online,"Bengaluru,IN",1171,44.6,0,3,Friday
